transaction_id,amount,hour,country,merchant_category,device,country_risk_score,is_fraud
T000585,28.47,12,CH,restaurant,mobile,0.045,0
T001568,9.61,22,CH,restaurant,mobile,0.016,0
T000824,18.78,18,IT,fuel,desktop,0.124,0
T000507,14.61,11,FR,fuel,desktop,0.049,0
T000889,47.71,20,CH,restaurant,desktop,0.13,0
T000070,30.47,14,IT,fuel,mobile,0.198,0
T001608,29.78,11,CH,retail,pos,0.138,0
T001532,29.78,15,CH,fuel,mobile,0.19,0
T000247,16.58,17,CH,restaurant,mobile,0.06,0
T001450,29.53,9,CH,grocery,pos,0.146,0
T000212,43.48,17,CH,restaurant,pos,0.085,0
T000909,89.83,15,DE,grocery,pos,0.06,0
T001741,22.17,22,CH,grocery,desktop,0.054,0
T001244,16.62,16,CH,grocery,pos,0.2,0
T001696,13.46,9,CH,grocery,pos,0.05,0
T001182,42.56,17,CH,grocery,mobile,0.034,0
T000361,61.54,15,CH,fuel,pos,0.167,0
T001473,24.75,7,IT,restaurant,desktop,0.146,0
T000678,43.01,20,CH,grocery,desktop,0.132,0
T001621,10.35,14,CH,restaurant,desktop,0.112,0
T001089,21.81,15,DE,restaurant,mobile,0.019,0
T001987,1045.47,5,BR,gift_cards,emulator,0.766,1
T001847,14.59,19,CH,fuel,mobile,0.028,0
T000987,41.53,21,FR,retail,mobile,0.173,0
T001512,15.96,22,FR,grocery,desktop,0.035,0
T000111,24.15,6,FR,restaurant,desktop,0.027,0
T001487,8.53,15,CH,grocery,mobile,0.152,0
T001453,116.86,7,CH,grocery,mobile,0.09,0
T000383,17.9,8,CH,retail,mobile,0.176,0
T001395,27.41,18,CH,restaurant,desktop,0.012,0
T001054,17.63,17,CH,retail,desktop,0.106,0
T000755,119.04,9,CH,fuel,pos,0.169,0
T000324,13.42,18,CH,fuel,desktop,0.037,0
T001623,16.43,12,FR,grocery,desktop,0.071,0
T000787,32.31,10,CH,fuel,pos,0.17,0
T000368,26.01,22,CH,fuel,desktop,0.132,0
T001819,13.57,16,DE,grocery,mobile,0.175,0
T000069,16.66,10,CH,retail,desktop,0.078,0
T000857,32.55,8,CH,grocery,pos,0.099,0
T001483,19.3,20,CH,retail,mobile,0.059,0
T001555,30.58,18,DE,fuel,mobile,0.153,0
T001691,18.45,7,CH,retail,mobile,0.193,0
T001474,15.32,16,CH,restaurant,desktop,0.149,0
T001798,46.79,18,DE,fuel,mobile,0.182,0
T000478,155.61,20,CH,restaurant,mobile,0.021,0
T000281,36.5,9,IT,fuel,mobile,0.169,0
T001647,44.32,20,CH,grocery,desktop,0.161,0
T001556,42.44,9,CH,retail,desktop,0.025,0
T001729,73.91,12,CH,retail,desktop,0.021,0
T000210,34.55,11,FR,restaurant,pos,0.035,0
T000297,29.5,13,CH,fuel,pos,0.03,0
T001884,24.15,22,CH,restaurant,desktop,0.194,0
T001833,29.14,9,CH,restaurant,desktop,0.02,0
T000651,48.23,9,DE,restaurant,mobile,0.032,0
T001233,115.33,21,CH,fuel,mobile,0.062,0
T001502,15.02,6,IT,retail,desktop,0.198,0
T001931,33.05,6,FR,fuel,mobile,0.19,0
T000916,35.33,21,FR,grocery,pos,0.05,0
T000993,16.29,20,CH,retail,mobile,0.088,0
T000429,8.54,15,FR,fuel,desktop,0.065,0
T001370,22.11,17,IT,retail,desktop,0.014,0
T000239,40.91,16,IT,retail,pos,0.128,0
T000879,50.05,19,CH,fuel,mobile,0.177,0
T000620,15.27,17,CH,grocery,pos,0.123,0
T000256,52.47,12,CH,retail,desktop,0.195,0
T000611,23.73,21,CH,retail,pos,0.036,0
T000544,5.57,6,CH,restaurant,pos,0.17,0
T000771,17.51,15,IT,retail,desktop,0.16,0
T001419,33.27,12,CH,grocery,mobile,0.193,0
T001041,18.63,13,DE,restaurant,pos,0.089,0
T001789,54.83,17,DE,restaurant,desktop,0.178,0
T000759,37.34,15,CH,fuel,pos,0.036,0
T000382,6.86,10,CH,grocery,desktop,0.069,0
T001103,22.56,12,CH,grocery,pos,0.135,0
T000973,16.58,21,CH,grocery,pos,0.164,0
T000352,41.04,7,CH,restaurant,mobile,0.023,0
T001605,13.85,14,CH,restaurant,mobile,0.144,0
T001825,31.98,6,DE,restaurant,mobile,0.085,0
T001036,11.76,21,CH,retail,pos,0.175,0
T001107,13.04,9,CH,grocery,pos,0.166,0
T000494,61.18,21,CH,grocery,mobile,0.024,0
T000393,73.62,22,DE,fuel,pos,0.087,0
T001546,13.48,21,CH,grocery,mobile,0.162,0
T000464,22.93,8,CH,grocery,mobile,0.191,0
T000886,34.83,22,CH,restaurant,desktop,0.074,0
T001193,29.72,22,CH,retail,desktop,0.172,0
T000366,28.06,16,CH,retail,mobile,0.187,0
T001893,22.97,9,CH,fuel,desktop,0.04,0
T001873,39.17,14,FR,fuel,mobile,0.058,0
T000744,33.47,20,CH,fuel,pos,0.197,0
T000529,14.26,9,DE,grocery,desktop,0.149,0
T000802,25.99,19,FR,fuel,mobile,0.025,0
T001223,31.45,15,CH,fuel,mobile,0.117,0
T001978,1138.18,1,CN,gift_cards,emulator,0.846,1
T001905,32.09,21,DE,retail,pos,0.099,0
T001699,27.32,7,DE,grocery,pos,0.133,0
T001544,17.09,22,IT,restaurant,desktop,0.125,0
T001313,34.28,8,DE,restaurant,mobile,0.051,0
T000306,52.8,20,IT,restaurant,desktop,0.168,0
T001666,13.47,21,DE,grocery,mobile,0.095,0
T000862,62.08,7,CH,retail,desktop,0.18,0
T001566,25.54,18,CH,restaurant,desktop,0.064,0
T000530,35.99,9,FR,grocery,desktop,0.024,0
T000654,114.89,9,CH,fuel,desktop,0.088,0
T001259,23.73,22,FR,grocery,mobile,0.127,0
T000233,16.59,8,CH,fuel,mobile,0.05,0
T000120,39.43,19,DE,fuel,desktop,0.177,0
T001697,16.34,7,CH,retail,mobile,0.123,0
T000949,28.39,10,DE,grocery,desktop,0.167,0
T000617,37.92,20,CH,restaurant,mobile,0.092,0
T001178,13.56,19,CH,grocery,mobile,0.095,0
T000307,17.2,14,CH,restaurant,mobile,0.119,0
T000135,62.18,22,CH,retail,pos,0.198,0
T000554,30.04,16,DE,grocery,mobile,0.097,0
T001673,14.11,18,CH,retail,pos,0.097,0
T000583,95.81,7,CH,grocery,mobile,0.166,0
T001640,24.89,12,CH,restaurant,mobile,0.045,0
T000670,51.81,16,DE,grocery,mobile,0.074,0
T000834,24.03,12,FR,fuel,desktop,0.188,0
T000109,23.46,12,CH,fuel,mobile,0.013,0
T001164,45.31,12,CH,restaurant,pos,0.064,0
T001959,257.74,4,NG,travel,unknown,0.758,1
T001464,17.32,17,CH,grocery,desktop,0.071,0
T001728,30.58,19,DE,grocery,desktop,0.112,0
T001242,17.3,17,CH,fuel,mobile,0.066,0
T000211,48.49,17,CH,restaurant,mobile,0.11,0
T001767,22.08,17,CH,fuel,mobile,0.19,0
T001120,47.62,17,FR,restaurant,pos,0.011,0
T000679,52.61,6,DE,grocery,mobile,0.074,0
T001950,130.45,5,US,crypto,emulator,0.828,1
T001838,24.05,16,CH,grocery,desktop,0.17,0
T000411,12.49,6,CH,restaurant,mobile,0.046,0
T001324,25.5,7,CH,grocery,mobile,0.042,0
T000782,30.82,21,CH,grocery,mobile,0.074,0
T001345,10.06,15,CH,fuel,desktop,0.086,0
T000874,24.05,18,DE,restaurant,desktop,0.033,0
T001652,27.57,9,CH,fuel,mobile,0.017,0
T001278,27.53,14,IT,retail,desktop,0.189,0
T000785,46.92,13,CH,grocery,desktop,0.187,0
T001818,21.61,7,CH,fuel,pos,0.037,0
T001198,28.06,18,CH,fuel,mobile,0.167,0
T000807,18.41,16,CH,grocery,desktop,0.169,0
T000712,17.69,10,DE,grocery,desktop,0.151,0
T001990,219.69,2,RU,gift_cards,emulator,0.943,1
T001659,48.61,8,DE,fuel,desktop,0.139,0
T001190,26.13,15,FR,retail,desktop,0.056,0
T001225,22.69,6,DE,grocery,mobile,0.024,0
T000602,41.34,14,CH,retail,mobile,0.025,0
T000270,58.25,13,DE,restaurant,desktop,0.068,0
T001384,38.29,21,CH,restaurant,pos,0.097,0
T000231,27.93,19,CH,fuel,mobile,0.168,0
T000049,8.52,7,CH,restaurant,desktop,0.129,0
T000462,16.12,12,CH,restaurant,mobile,0.111,0
T001105,13.15,9,DE,retail,mobile,0.12,0
T000855,17.42,18,IT,grocery,mobile,0.067,0
T000693,35.5,11,FR,retail,desktop,0.166,0
T001551,21.71,20,IT,restaurant,mobile,0.103,0
T001872,20.39,22,DE,fuel,mobile,0.031,0
T000526,9.24,22,CH,fuel,pos,0.038,0
T000173,30.1,10,CH,grocery,mobile,0.032,0
T000720,29.51,10,FR,grocery,desktop,0.13,0
T000414,29.95,18,DE,retail,pos,0.16,0
T000237,27.44,22,CH,fuel,mobile,0.016,0
T001472,22.64,12,DE,restaurant,pos,0.168,0
T001335,20.04,22,CH,grocery,mobile,0.027,0
T001063,8.64,12,CH,restaurant,pos,0.071,0
T000023,10.43,9,FR,fuel,mobile,0.115,0
T001766,90.25,6,CH,fuel,pos,0.016,0
T000063,11.97,6,DE,retail,mobile,0.086,0
T000289,16.88,17,CH,restaurant,mobile,0.085,0
T000188,14.76,14,DE,restaurant,desktop,0.117,0
T000701,46.04,19,CH,fuel,desktop,0.115,0
T001814,20.88,16,CH,grocery,pos,0.114,0
T001137,11.75,12,DE,fuel,desktop,0.195,0
T000354,24.25,16,CH,retail,desktop,0.065,0
T000416,62.22,9,FR,retail,mobile,0.103,0
T001245,11.77,13,CH,restaurant,pos,0.137,0
T000930,17.58,17,FR,restaurant,mobile,0.184,0
T000196,14.44,14,CH,restaurant,pos,0.127,0
T000579,48.73,6,CH,grocery,mobile,0.018,0
T001134,21.19,15,CH,fuel,desktop,0.058,0
T001813,42.02,19,DE,fuel,pos,0.184,0
T001934,119.89,7,DE,grocery,mobile,0.08,0
T000433,37.73,14,CH,retail,mobile,0.063,0
T000100,10.49,7,FR,restaurant,desktop,0.099,0
T001654,30.06,16,IT,restaurant,mobile,0.162,0
T000394,49.78,8,FR,restaurant,mobile,0.074,0
T001938,47.06,12,DE,restaurant,pos,0.132,0
T000220,98.38,15,FR,restaurant,pos,0.02,0
T001675,20.22,15,IT,retail,desktop,0.138,0
T001497,50.65,22,CH,restaurant,mobile,0.03,0
T001784,25.78,6,CH,grocery,mobile,0.088,0
T000344,18.49,21,DE,retail,mobile,0.04,0
T001027,26.36,9,CH,fuel,desktop,0.196,0
T000888,34.97,7,FR,restaurant,mobile,0.109,0
T001350,12.16,18,CH,retail,mobile,0.192,0
T000552,49.44,17,CH,restaurant,mobile,0.156,0
T000743,24.92,18,DE,fuel,desktop,0.118,0
T001541,71.05,15,CH,grocery,mobile,0.196,0
T000538,44.87,7,IT,grocery,mobile,0.074,0
T000906,10.85,21,CH,retail,mobile,0.196,0
T001394,19.7,19,CH,retail,mobile,0.18,0
T000115,29.4,22,CH,restaurant,mobile,0.075,0
T000829,20.72,12,CH,restaurant,desktop,0.116,0
T001937,32.48,8,IT,restaurant,mobile,0.179,0
T000808,52.12,14,CH,restaurant,mobile,0.038,0
T001310,24.17,21,CH,fuel,mobile,0.098,0
T001004,37.3,16,DE,restaurant,desktop,0.109,0
T000305,26.32,11,FR,fuel,pos,0.042,0
T001100,44.65,19,DE,retail,pos,0.192,0
T000479,48.03,9,CH,fuel,mobile,0.088,0
T001423,14.83,20,CH,retail,mobile,0.179,0
T001075,18.24,20,CH,grocery,desktop,0.146,0
T000570,24.81,16,DE,fuel,desktop,0.023,0
T000618,32.74,11,CH,grocery,mobile,0.068,0
T001897,64.02,8,IT,grocery,desktop,0.094,0
T001265,10.5,12,DE,grocery,pos,0.177,0
T000078,25.92,19,CH,grocery,desktop,0.159,0
T001911,93.58,17,CH,grocery,mobile,0.021,0
T000032,24.33,22,DE,fuel,desktop,0.131,0
T001537,17.82,12,CH,retail,mobile,0.172,0
T001033,36.17,22,FR,retail,mobile,0.064,0
T001562,5.73,20,IT,fuel,desktop,0.06,0
T000351,59.45,17,CH,fuel,desktop,0.024,0
T000163,14.99,18,DE,restaurant,mobile,0.117,0
T000203,46.17,18,DE,restaurant,pos,0.12,0
T001053,28.69,13,FR,restaurant,mobile,0.062,0
T001364,50.3,18,CH,grocery,mobile,0.099,0
T001966,204.82,1,BR,travel,unknown,0.777,1
T000495,33.9,20,DE,grocery,pos,0.184,0
T001624,75.49,9,CH,restaurant,mobile,0.078,0
T001965,97.46,1,US,electronics,unknown,0.803,1
T001962,319.28,4,NG,electronics,unknown,0.894,1
T000610,36.33,8,CH,fuel,desktop,0.072,0
T000432,20.87,13,FR,grocery,pos,0.09,0
T001491,113.85,15,CH,grocery,mobile,0.191,0
T000218,18.33,18,FR,fuel,pos,0.028,0
T001930,11.73,17,CH,retail,pos,0.188,0
T001465,34.92,12,DE,restaurant,pos,0.18,0
T000630,8.89,6,CH,restaurant,mobile,0.105,0
T001381,18.31,11,CH,fuel,mobile,0.069,0
T001301,44.49,7,CH,grocery,mobile,0.111,0
T000059,44.05,8,CH,retail,desktop,0.046,0
T000298,39.95,9,CH,retail,mobile,0.026,0
T001710,47.67,17,CH,fuel,mobile,0.035,0
T000073,62.73,8,DE,grocery,mobile,0.157,0
T000162,49.16,16,CH,grocery,mobile,0.087,0
T001274,50.8,16,DE,fuel,desktop,0.014,0
T001593,42.2,9,CH,fuel,mobile,0.069,0
T001433,17.29,22,CH,fuel,pos,0.011,0
T001612,41.67,9,CH,fuel,mobile,0.133,0
T000591,18.42,19,CH,retail,mobile,0.088,0
T000316,36.94,20,CH,retail,mobile,0.114,0
T000045,15.93,15,CH,restaurant,mobile,0.052,0
T001719,18.89,18,FR,grocery,desktop,0.133,0
T001831,28.22,16,DE,grocery,pos,0.016,0
T000427,37.03,19,FR,fuel,desktop,0.172,0
T000581,19.12,14,CH,grocery,mobile,0.061,0
T000076,25.85,14,CH,grocery,mobile,0.044,0
T001916,15.29,18,CH,grocery,mobile,0.194,0
T001414,16.67,9,CH,grocery,mobile,0.19,0
T000780,27.29,19,CH,retail,desktop,0.044,0
T001919,18.48,17,IT,restaurant,desktop,0.13,0
T001173,23.63,21,CH,grocery,mobile,0.124,0
T001319,21.93,17,DE,grocery,mobile,0.178,0
T000937,37.53,6,CH,grocery,pos,0.174,0
T000030,17.1,18,CH,restaurant,desktop,0.057,0
T001091,23.99,10,CH,fuel,desktop,0.162,0
T001615,166.64,10,DE,retail,desktop,0.19,0
T001229,92.42,17,CH,fuel,desktop,0.083,0
T000974,18.77,17,IT,fuel,mobile,0.167,0
T001084,30.85,7,DE,fuel,mobile,0.158,0
T000514,17.36,14,CH,grocery,desktop,0.106,0
T001550,23.1,20,FR,restaurant,mobile,0.038,0
T001567,33.43,16,IT,fuel,mobile,0.153,0
T001810,18.36,12,CH,restaurant,desktop,0.108,0
T001573,10.87,21,FR,retail,desktop,0.188,0
T000044,10.1,8,CH,fuel,desktop,0.154,0
T001686,18.56,13,IT,grocery,mobile,0.151,0
T000168,21.17,22,CH,retail,pos,0.108,0
T000303,35.38,22,CH,fuel,desktop,0.066,0
T000990,27.8,19,DE,retail,mobile,0.099,0
T000555,19.16,15,CH,fuel,desktop,0.108,0
T001924,85.15,6,CH,fuel,mobile,0.174,0
T000607,11.63,8,DE,grocery,mobile,0.145,0
T001618,19.0,7,DE,restaurant,pos,0.022,0
T000757,27.41,15,CH,fuel,mobile,0.027,0
T000438,8.83,19,CH,restaurant,mobile,0.163,0
T000582,35.86,10,CH,restaurant,mobile,0.101,0
T001518,13.27,20,CH,fuel,mobile,0.168,0
T000527,25.25,8,DE,grocery,mobile,0.101,0
T000342,28.42,9,CH,restaurant,mobile,0.149,0
T001736,13.04,19,CH,restaurant,desktop,0.101,0
T000367,24.72,12,CH,retail,mobile,0.057,0
T000185,37.65,17,CH,retail,mobile,0.025,0
T001116,103.76,15,DE,restaurant,desktop,0.025,0
T001754,33.34,22,CH,restaurant,mobile,0.072,0
T001425,7.54,8,IT,retail,desktop,0.187,0
T000300,14.92,16,CH,grocery,pos,0.092,0
T001903,30.62,21,CH,fuel,mobile,0.151,0
T000832,13.43,22,IT,retail,pos,0.125,0
T000543,58.26,13,CH,retail,mobile,0.061,0
T001600,21.98,18,FR,grocery,pos,0.181,0
T000350,29.56,9,IT,fuel,mobile,0.124,0
T001932,18.56,16,IT,retail,mobile,0.032,0
T001510,12.37,19,CH,fuel,desktop,0.151,0
T000978,9.48,18,CH,retail,desktop,0.138,0
T000175,40.3,22,CH,retail,desktop,0.145,0
T000482,9.36,13,DE,grocery,pos,0.12,0
T001412,32.25,11,CH,grocery,mobile,0.117,0
T001610,20.59,20,IT,grocery,desktop,0.014,0
T000123,10.58,9,DE,fuel,desktop,0.076,0
T000599,30.77,10,CH,retail,pos,0.133,0
T001794,27.88,11,FR,retail,mobile,0.117,0
T001745,28.3,7,CH,retail,desktop,0.121,0
T001378,17.06,15,CH,fuel,desktop,0.11,0
T001185,43.14,14,CH,restaurant,mobile,0.045,0
T000485,10.45,15,IT,restaurant,mobile,0.133,0
T000331,14.32,17,DE,restaurant,desktop,0.051,0
T000788,23.52,11,CH,retail,desktop,0.099,0
T000194,27.22,21,DE,grocery,mobile,0.197,0
T000637,25.64,6,DE,fuel,mobile,0.196,0
T000471,6.16,14,DE,restaurant,desktop,0.187,0
T001713,40.79,18,CH,retail,mobile,0.137,0
T000322,15.02,15,CH,grocery,mobile,0.022,0
T001196,24.25,6,CH,retail,mobile,0.076,0
T000266,65.33,14,DE,restaurant,desktop,0.077,0
T001543,18.65,21,CH,grocery,pos,0.015,0
T001803,9.89,13,CH,fuel,mobile,0.023,0
T000067,44.8,13,DE,restaurant,desktop,0.163,0
T001737,12.93,12,CH,retail,mobile,0.089,0
T001592,31.88,11,CH,grocery,mobile,0.104,0
T001563,41.7,19,DE,fuel,desktop,0.147,0
T000480,22.72,12,FR,restaurant,desktop,0.12,0
T001756,22.59,13,IT,restaurant,pos,0.183,0
T001912,35.98,17,CH,restaurant,desktop,0.199,0
T001440,36.52,11,CH,fuel,mobile,0.021,0
T001460,22.58,18,CH,restaurant,desktop,0.097,0
T000887,19.78,14,IT,grocery,mobile,0.035,0
T000422,21.13,12,FR,retail,desktop,0.173,0
T001674,64.67,14,DE,grocery,pos,0.032,0
T001449,24.85,21,CH,grocery,mobile,0.187,0
T000764,48.89,14,CH,grocery,pos,0.111,0
T000519,38.51,22,CH,grocery,desktop,0.189,0
T001431,40.02,17,CH,fuel,mobile,0.187,0
T000613,12.49,15,CH,fuel,mobile,0.157,0
T001530,26.7,21,IT,grocery,mobile,0.12,0
T001782,9.95,13,CH,fuel,mobile,0.037,0
T001658,13.41,18,CH,grocery,pos,0.035,0
T000453,33.2,22,FR,retail,mobile,0.047,0
T000730,27.59,6,FR,fuel,mobile,0.08,0
T000534,16.59,13,CH,grocery,mobile,0.109,0
T000965,58.21,13,DE,grocery,pos,0.104,0
T001284,15.31,6,DE,fuel,mobile,0.17,0
T001739,68.47,20,FR,fuel,pos,0.185,0
T000261,23.67,9,CH,grocery,desktop,0.039,0
T000535,25.24,19,IT,grocery,desktop,0.158,0
T000968,23.95,7,IT,retail,mobile,0.059,0
T000240,15.25,9,DE,retail,pos,0.116,0
T000819,46.49,18,CH,retail,mobile,0.188,0
T000692,12.82,15,DE,grocery,mobile,0.119,0
T000420,84.47,17,CH,restaurant,pos,0.056,0
T001085,31.75,12,CH,restaurant,mobile,0.147,0
T001998,62.7,4,US,electronics,vpn,0.704,1
T000365,19.28,6,FR,retail,pos,0.069,0
T001022,24.18,14,FR,grocery,mobile,0.106,0
T001240,19.54,13,DE,fuel,mobile,0.171,0
T000588,40.37,18,CH,grocery,mobile,0.108,0
T000736,28.61,11,DE,grocery,mobile,0.131,0
T001761,38.29,11,DE,retail,mobile,0.197,0
T000941,41.41,9,FR,restaurant,mobile,0.133,0
T000071,61.73,6,CH,retail,mobile,0.06,0
T001407,60.39,10,CH,retail,mobile,0.013,0
T000259,39.05,21,DE,fuel,mobile,0.117,0
T000051,19.47,8,DE,grocery,pos,0.034,0
T000198,25.4,16,CH,grocery,pos,0.177,0
T001788,29.71,17,DE,restaurant,mobile,0.18,0
T000650,74.39,14,CH,retail,mobile,0.078,0
T000332,25.67,6,IT,fuel,desktop,0.058,0
T001359,27.39,13,IT,grocery,mobile,0.128,0
T000593,29.97,14,DE,grocery,mobile,0.182,0
T001391,16.34,11,CH,retail,pos,0.065,0
T001800,76.76,18,CH,fuel,mobile,0.119,0
T001314,24.69,17,FR,grocery,pos,0.023,0
T001111,27.95,7,FR,retail,desktop,0.058,0
T001006,41.98,16,DE,grocery,mobile,0.026,0
T001326,13.96,22,CH,grocery,mobile,0.158,0
T000426,13.75,10,DE,grocery,pos,0.195,0
T001558,60.08,7,CH,fuel,mobile,0.014,0
T001293,40.57,11,DE,retail,pos,0.152,0
T000590,25.61,20,FR,retail,pos,0.017,0
T001957,150.62,2,NG,electronics,vpn,0.791,1
T001976,103.35,0,US,travel,emulator,0.865,1
T001132,64.6,22,DE,fuel,mobile,0.09,0
T000985,12.24,16,DE,retail,mobile,0.1,0
T000398,22.9,12,CH,grocery,desktop,0.023,0
T001511,21.84,6,DE,grocery,mobile,0.035,0
T000436,65.18,12,CH,retail,desktop,0.084,0
T000192,27.9,9,CH,fuel,pos,0.016,0
T001435,29.07,16,CH,fuel,pos,0.119,0
T000614,106.43,11,CH,fuel,mobile,0.195,0
T001493,27.41,16,CH,retail,mobile,0.013,0
T000576,28.26,10,DE,fuel,desktop,0.149,0
T000986,60.46,16,CH,grocery,mobile,0.091,0
T001432,41.11,13,CH,fuel,pos,0.105,0
T000706,11.38,14,CH,retail,desktop,0.152,0
T001258,16.07,14,DE,retail,desktop,0.059,0
T000141,53.75,10,CH,grocery,mobile,0.182,0
T001357,31.03,7,CH,retail,mobile,0.071,0
T000002,36.18,10,IT,fuel,mobile,0.168,0
T001221,29.54,20,FR,retail,pos,0.044,0
T001869,19.17,15,CH,retail,mobile,0.09,0
T001622,42.59,15,CH,fuel,desktop,0.158,0
T000339,17.49,11,CH,retail,mobile,0.196,0
T001769,34.15,12,CH,retail,desktop,0.041,0
T001536,33.39,18,CH,restaurant,mobile,0.061,0
T000483,27.72,22,CH,restaurant,mobile,0.108,0
T000265,11.6,20,FR,fuel,pos,0.093,0
T000376,41.4,16,IT,grocery,mobile,0.136,0
T000741,11.38,12,CH,restaurant,desktop,0.158,0
T001013,16.22,22,CH,grocery,mobile,0.124,0
T000439,23.73,9,IT,grocery,mobile,0.091,0
T000271,10.37,18,DE,grocery,desktop,0.198,0
T000184,21.45,8,CH,fuel,mobile,0.174,0
T000939,17.49,19,CH,retail,mobile,0.169,0
T000244,11.94,20,CH,grocery,desktop,0.077,0
T000931,75.85,22,DE,grocery,mobile,0.192,0
T000445,36.66,20,CH,fuel,pos,0.066,0
T000596,20.87,22,FR,fuel,desktop,0.02,0
T000817,41.84,6,CH,restaurant,mobile,0.187,0
T001272,12.74,9,CH,grocery,mobile,0.091,0
T001676,50.92,20,CH,retail,desktop,0.092,0
T000486,16.64,15,DE,retail,mobile,0.091,0
T000680,37.83,19,FR,restaurant,desktop,0.017,0
T000415,15.66,14,FR,retail,mobile,0.053,0
T000273,24.68,13,DE,grocery,desktop,0.136,0
T001471,17.02,10,CH,fuel,pos,0.149,0
T001829,24.81,20,CH,fuel,desktop,0.047,0
T001454,34.44,8,DE,retail,desktop,0.102,0
T000250,11.51,14,CH,fuel,pos,0.041,0
T000413,52.81,7,DE,fuel,desktop,0.109,0
T001385,29.36,13,CH,retail,desktop,0.046,0
T001307,24.4,8,IT,grocery,pos,0.068,0
T000715,47.56,16,DE,retail,pos,0.088,0
T000310,21.53,10,DE,grocery,mobile,0.024,0
T000926,17.54,20,FR,fuel,desktop,0.129,0
T000381,17.12,21,CH,restaurant,mobile,0.103,0
T001565,20.72,17,CH,retail,mobile,0.148,0
T000425,55.77,13,CH,retail,pos,0.095,0
T001874,53.85,15,DE,grocery,mobile,0.062,0
T000532,23.58,16,CH,fuel,pos,0.161,0
T000752,13.66,18,DE,fuel,desktop,0.139,0
T000765,16.09,11,DE,fuel,mobile,0.077,0
T001356,17.68,21,FR,fuel,pos,0.069,0
T000408,26.37,14,DE,grocery,mobile,0.184,0
T001614,22.01,16,DE,restaurant,pos,0.11,0
T000694,35.02,9,CH,fuel,desktop,0.117,0
T001738,43.39,19,DE,retail,desktop,0.03,0
T000548,30.65,13,CH,grocery,mobile,0.148,0
T000936,13.29,8,IT,fuel,mobile,0.013,0
T001389,15.61,18,FR,fuel,pos,0.134,0
T001607,65.03,11,DE,retail,mobile,0.047,0
T001939,26.02,16,DE,restaurant,mobile,0.132,0
T001481,19.62,11,CH,restaurant,desktop,0.089,0
T000182,12.9,21,CH,grocery,desktop,0.094,0
T001940,184.46,3,RU,travel,unknown,0.812,1
T001160,5.48,11,CH,grocery,mobile,0.012,0
T000170,14.39,20,CH,fuel,mobile,0.044,0
T000292,17.23,15,CH,retail,mobile,0.141,0
T000561,85.22,12,CH,grocery,pos,0.187,0
T001456,38.55,20,CH,restaurant,desktop,0.11,0
T001876,17.51,12,IT,restaurant,pos,0.019,0
T001651,29.83,15,CH,fuel,desktop,0.157,0
T000849,17.84,17,FR,retail,mobile,0.069,0
T000272,49.3,9,CH,restaurant,mobile,0.024,0
T001549,51.22,16,CH,restaurant,desktop,0.159,0
T001034,18.36,19,CH,restaurant,mobile,0.055,0
